,CompanyName,Ticker
397,Southern Empire Resources Corp.,SMP.V
398,Silver Valley Metals Corp.,SILV.V
399,Tombill Mines Limited,TBLL.V
400,Searchlight Resources Inc.,SCLT.V
401,Copper Road Resources Inc.,CRD.V
402,Casa Minerals Inc.,CASA.V
403,Trifecta Gold Ltd.,TG.V
404,Playfair Mining Ltd.,PLY.V
405,T2 Metals Corp.,TWO.V
406,Tarku Resources Ltd.,TKU.V
407,Opus One Gold Corporation,OOR.V
408,Freeport Resources Inc.,FRI.V
409,Minnova Corp.,MCI.V
410,Goldex Resources Corporation,GDX.V
411,International Metals Mining Corp.,IMM.V
412,Nobel Resources Corp.,NBLC.V
413,Kestrel Gold Inc.,KGC.V
414,Helius Minerals Limited,HHH.V
415,Pelangio Exploration Inc.,PX.V
416,Xplore Resources Corp.,XPLR.V
417,Silver Spruce Resources Inc.,SSE.V
418,AXMIN Inc.,AXM.V
419,GSP Resource Corp.,GSPR.V
420,Tesoro Minerals Corp.,TES.V
421,Indigo Exploration Inc.,IXI.V
422,Beauce Gold Fields Inc.,BGF.V
423,Emergent Metals Corp.,EMR.V
424,Northern Shield Resources Inc.,NRN.V
425,Prospector Metals Corp.,PPP.V
426,Altai Resources Inc.,ATI.V
427,Finlay Minerals Ltd.,FYL.V
428,Sarama Resources Ltd.,SWA.V
429,Conquest Resources Limited,CQR.V
430,K9 Gold Corp.,KNC.V
431,Torr Metals Inc.,TMET.V
432,Carlin Gold Corporation,CGD.V
433,Silver Wolf Exploration Ltd.,SWLF.V
434,Fremont Gold Ltd.,FRE.V
435,Smooth Rock Ventures Corp.,SMRV.V
436,NewOrigin Gold Corp.,NEWO.V
437,Kintavar Exploration Inc.,KTR.V
438,Metalquest Mining Inc.,MQM.V
439,Pantera Silver Corp.,PNTR.V
440,Rio Silver Inc.,RYO.V
441,Hemlo Explorers Inc.,HMLO.V
442,Apex Resources Inc.,APX.V
443,Jaxon Mining Inc.,JAX.V
444,Western Metallica Resources Corp.,WMS.V
445,Rockridge Resources Ltd.,ROCK.V
446,Magna Terra Minerals Inc.,MTT.V
447,Leviathan Gold Ltd.,LVX.V
448,Bulgold Inc.,ZLTO.V
449,Stinger Resources Inc.,STNG.V
450,InZinc Mining Ltd.,IZN.V
451,Libero Copper & Gold Corporation,LBC.V
452,Metallis Resources Inc.,MTS.V
453,Vatic Ventures Corp.,VCV.V
454,Commander Resources Ltd.,CMD.V
455,Wescan Goldfields Inc.,WGF.V
456,Kalo Gold Corp.,KALO.V
457,Granada Gold Mine Inc.,GGM.V
458,Sky Gold Corp.,SKYG.V
459,Europacific Metals Inc.,EUP.V
460,Jinhua Capital Corporation,JHC.V
461,Bold Ventures Inc.,BOL.V
462,Bitterroot Resources Ltd.,BTT.V
463,Jade Leader Corp.,JADE.V
464,Golden Sky Minerals Corp.,AUEN.V
465,Goldflare Exploration Inc.,GOFL.V
466,Great Atlantic Resources Corp.,GR.V
467,CaNickel Mining Limited,CML.V
468,Candelaria Mining Corp.,CAND.V
469,KAPA Gold Inc.,KAPA.V
470,Jubilee Gold Exploration Ltd.,JUB.V
471,NV Gold Corporation,NVX.V
472,Sego Resources Inc.,SGZ.V
473,Cleghorn Minerals Ltd.,CZZ.V
474,Glen Eagle Resources Inc.,GER.V
475,Azarga Metals Corp.,AZR.V
476,Nevada Exploration Inc.,NGE.V
477,TinOne Resources Inc.,TORC.V
478,Golden Share Resources Corporation,GSH.V
479,Golden Goliath Resources Ltd.,GNG.V
480,Lincoln Gold Mining Inc.,LMG.V
481,BWR Exploration Inc.,BWR.V
482,Northern Lion Gold Corp.,NL.V
483,Inomin Mines Inc.,MINE.V
484,Silver Predator Corp.,SPD.V
485,Global Energy Metals Corporation,GEMC.V
486,Argentum Silver Corp.,ASL.V
487,Outback Goldfields Corp.,OZ.V
488,International Iconic Gold Exploration Corp.,ICON.V
489,Tres-Or Resources Ltd.,TRS.V
490,Goldcliff Resource Corporation,GCN.V
491,EGR Exploration Ltd.,EGR.V
492,Nickel North Exploration Corp.,NNX.V
493,Gossan Resources Limited,GSS.V
494,Kiboko Gold Inc.,KIB.V
495,Fort St. James Nickel Corp.,FTJ.V
496,King Global Ventures Inc.,KING.V
497,Avidian Gold Corp.,AVG.V
498,Nickelex Resource Corporation,NICK.V
499,Greencastle Resources Ltd.,VGN.V
500,Hanstone Gold Corp.,HANS.V
501,SLAM Exploration Ltd.,SXL.V
502,Mineral Hill Industries Ltd.,MHI.V
503,Aben Minerals Ltd.,ABM.V
504,Engold Mines Ltd.,EGM.V
505,Margaret Lake Diamonds Inc.,DIA.V
506,Fjordland Exploration Inc.,FEX.V
507,Galore Resources Inc.,GRI.V
508,South Atlantic Gold Inc.,SAO.V
509,MacDonald Mines Exploration Ltd.,BMK.V
510,TomaGold Corporation,LOT.V
511,Bullion Gold Resources Corp.,BGD.V
512,Avrupa Minerals Ltd.,AVU.V
513,BMEX Gold Inc.,BMEX.V
514,International Prospect Ventures Ltd.,IZZ.V
515,Masivo Silver Corp.,MASS.V
516,QCX Gold Corp.,QCX.V
517,Providence Gold Mines Inc.,PHD.V
518,Cascadero Copper Corporation,CCD.V
519,Apogee Minerals Ltd.,APMI.V
520,Mexican Gold Mining Corp.,MEX.V
521,WestKam Gold Corp.,WKG.V
522,Damara Gold Corp.,DMR.V
523,Alturas Minerals Corp.,ALT.V
524,Blue Moon Metals Inc.,MOON.V
525,Li3 Lithium Corp.,LILI.V
526,Lupaka Gold Corp.,LPK.V
527,Akwaaba Mining Ltd.,AML.V
528,Blende Silver Corp.,BAG.V
529,Orestone Mining Corp.,ORS.V
530,Pacific Empire Minerals Corp.,PEMC.V
531,Black Mammoth Metals Corporation,BMM.V
532,Generation Gold Corp.,GEN.V
533,Thunderstruck Resources Ltd.,AWE.V
534,Central Iron Ore Limited,CIO.V
535,Lodestar Battery Metals Corp.,LSTR.V
536,Monarca Minerals Inc.,MMN.V
537,Teras Resources Inc.,TRA.V
538,Pacific Bay Minerals Ltd.,PBM.V
539,Ridgestone Mining Inc.,RMI.V
540,Troubadour Resources Inc.,TR.V
541,1844 Resources Inc.,EFF.V
542,Stuve Gold Corp.,STUV.V
543,Madoro Metals Corp.,MDM.V
544,Harvest Gold Corp.,HVG.V
545,Engineer Gold Mines Ltd.,EAU.V
546,Newrange Gold Corp.,NRG.V
547,Stellar AfricaGold Inc.,SPX.V
548,Millennium Silver Corp.,MSC.V
549,GoldON Resources Ltd.,GLD.V
550,GGX Gold Corp.,GGX.V
551,G.E.T.T. Gold Inc.,GETT.V
552,GK Resources Ltd.,NIKL.V
553,Opawica Explorations Inc.,OPW.V
554,Nortec Minerals Corp.,NVT.V
555,Lucky Minerals Inc.,LKY.V
556,Mammoth Resources Corp.,MTH.V
557,Baroyeca Gold & Silver Inc.,BGS.V
558,Gitennes Exploration Inc.,GIT.V
559,Canoe Mining Ventures Corp.,CLV.V
560,Rochester Resources Ltd.,RCT.V
561,AuQ Gold Mining Inc.,AUQ.V
562,Select Sands Corp.,SNS.V
563,Adyton Resources Corporation,ADY.V
564,Mantaro Precious Metals Corp.,MNTR.V
565,Norrland Gold Corp.,NORR.V
566,Q-Gold Resources Ltd.,QGR.V
567,Nexus Gold Corp.,NXS.V
568,Quadro Resources Ltd.,QRO.V
569,Montauk Metals Inc.,MTK.V
570,Fairchild Gold Corp.,FAIR.V
571,District Copper Corp.,DCOP.V
572,Pacific Imperial Mines Inc.,PPM.V
573,Plata Latina Minerals Corporation,PLA.V
574,Bonanza Mining Corporation,BNZ.V
575,Infield Minerals Corp.,INFD.V
576,Alliance Mining Corp.,ALM.V
577,Medgold Resources Corp.,MED.V
578,AU Gold Corp.,AUGC.V
579,Kingman Minerals Ltd.,KGS.V
580,RT Minerals Corp.,RTM.V
581,Discovery-Corp Enterprises Inc.,DCY.V
582,Kermode Resources Ltd.,KLM.V
583,Aloro Mining Corp.,AORO.V
584,Altair Resources Inc.,AVX.V
585,New Destiny Mining Corp.,NED.V
586,Norden Crown Metals Corporation,NOCR.V
587,XAU Resources Inc.,GIG.V
588,Cortus Metals Inc.,CRTS.V
589,IEMR Resources Inc.,IRI.V
590,Optegra Ventures Inc.,OPTG.V
591,Saville Resources Inc.,SRE.V
592,Fabled Silver Gold Corp.,FCO.V
593,Huntsman Exploration Inc.,HMAN.V
594,Rex Resources Corp.,OWN.V
595,Magnum Goldcorp Inc.,MGI.V
596,Vantex Resources Ltd.,VAX.V
597,Hawkeye Gold & Diamond Inc.,HAWK.V
598,Tymbal Resources Ltd.,TYMB.V
599,AFR NuVenture Resources Inc.,AFR.V
600,Venerable Ventures Ltd.,VLV.V
